1.87	589200
1.875	588900
1.88	588400
1.885	588000
1.89	587400
1.895	586400
1.9	586200
1.905	585500
1.91	586000
1.915	586400
1.92	586200
1.925	586000
1.93	585500
1.935	584500
1.94	583200
1.945	581300
1.95	577900
1.955	575300
1.96	570900
1.965	566100
1.97	560900
1.975	555100
1.98	548600
1.985	542300
1.99	535900
1.995	528900
2	521500
2.005	514000
2.01	506500
2.015	498400
2.02	489900
2.025	480000
2.03	471200
2.035	460800
2.04	449800
2.045	439500
2.05	428700
2.055	417900
2.06	406400
2.065	395100
2.07	383400
2.075	372100
2.08	359800
2.085	347800
2.09	336100
2.095	325300
2.1	315100
2.105	305400
2.11	296700
2.115	288500
2.12	281200
2.125	275100
2.13	269500
2.135	264800
2.14	260900
2.145	257800
2.15	255900
2.155	254300
2.16	253300
2.165	252400
2.17	251500
2.175	250900
2.18	250300
2.185	248900
2.19	247500
2.195	246400
2.2	245800
2.205	246400
2.21	248000
2.215	250600
2.22	254500
2.225	259300
2.23	264900
2.235	271600
2.24	278800
2.245	286100
2.25	293600
2.255	301800
2.26	310800
2.265	320400
2.27	329900
2.275	339300
2.28	348700
2.285	358100
2.29	367400
2.295	377400
2.3	387900
2.305	398200
2.31	408200
2.315	417800
2.32	427000
2.325	436000
2.33	444900
2.335	452900
2.34	460400
2.345	466800
2.35	471400
2.355	476200
2.36	480200
2.365	484300
2.37	488700
2.375	493600
2.38	499200
2.385	506000
2.39	513200
2.395	520400
2.4	527400
2.405	534400
2.41	541400
2.415	547500
2.42	553600
2.425	558300
2.43	562600
2.435	566300
2.44	568500
2.445	569400
2.45	569800
2.455	569400
2.46	567900
2.465	565300
2.47	562000
2.475	557500
2.48	552600
2.485	546600
2.49	541100
2.495	535500
2.5	531500
2.505	528800
2.51	527500
2.515	527100
2.52	527400
2.525	527600
2.53	528500
2.535	529600
2.54	530700
2.545	531900
2.55	533100
2.555	534600
2.56	537200
2.565	541600
2.57	545500
2.575	550600
2.58	557000
2.585	565300
2.59	572800
2.595	580100
2.6	586600
2.605	593900
2.61	598500
2.615	602200
2.62	605000
2.625	606100
2.63	605600
2.635	603400
2.64	599500
2.645	594500
2.65	588300
2.655	583300
2.66	576400
2.665	570000
2.67	563400
2.675	557500
2.68	551600
2.685	546100
2.69	539900
2.695	533500
2.7	526500
2.705	518700
2.71	510000
2.715	500300
2.72	489900
2.725	478500
2.73	466800
2.735	455200
2.74	444400
2.745	434800
2.75	426100
2.755	418800
2.76	414000
2.765	411900
2.77	412200
2.775	415100
2.78	420500
2.785	428600
2.79	438400
2.795	449900
2.8	462300
2.805	476100
2.81	491600
2.815	507800
2.82	525200
2.825	543400
2.83	562300
2.835	581400
2.84	601400
2.845	621800
2.85	641800
2.855	660700
2.86	679100
2.865	696600
2.87	713200
2.875	728800
2.88	742800
2.885	755400
2.89	767400
2.895	777900
2.9	787500
2.905	795300
2.91	801400
2.915	805100
2.92	807400
2.925	805800
2.93	803200
2.935	797500
2.94	790300
2.945	781000
2.95	768600
2.955	756100
2.96	741600
2.965	727400
2.97	711500
2.975	695100
2.98	677700
2.985	659100
2.99	639600
2.995	620000
3	598700
3.005	577400
3.01	555500
3.015	534300
3.02	513900
3.025	494300
3.03	475400
3.035	457600
3.04	441200
3.045	427200
3.05	414700
3.055	404200
3.06	395300
3.065	387800
3.07	381300
3.075	376300
3.08	373100
3.085	369400
3.09	366700
3.095	363500
3.1	360000
3.105	355600
3.11	350400
3.115	344700
3.12	338600
3.125	332000
3.13	325400
3.135	319800
3.14	314800
3.145	309600
3.15	305000
3.155	301400
3.16	298600
3.165	296200
3.17	294300
3.175	292800
3.18	291700
3.185	289300
3.19	286700
3.195	284200
3.2	282500
3.205	280100
3.21	277200
3.215	272600
3.22	267400
3.225	260800
3.23	254200
3.235	248200
3.24	242800
3.245	237500
3.25	232900
3.255	228200
3.26	224200
3.265	221700
3.27	220800
3.275	222800
3.28	226200
3.285	230900
3.29	237300
3.295	244300
3.3	252100
3.305	261300
3.31	271200
3.315	281700
3.32	292800
3.325	303000
3.33	312500
3.335	322000
3.34	331100
3.345	339900
3.35	348500
3.355	356200
3.36	363500
3.365	370600
3.37	376900
3.375	381500
3.38	384700
3.385	387300
3.39	389200
3.395	392500
3.4	393200
3.405	391400
3.41	391000
3.415	390400
3.42	388900
3.425	387900
3.43	387600
3.435	387800
3.44	388400
3.445	387700
3.45	387200
3.455	385700
3.46	384800
3.465	383400
3.47	381600
3.475	379800
3.48	378400
3.485	376900
3.49	374300
3.495	374400
3.5	374500
3.505	375300
3.51	377200
3.515	380000
3.52	382200
3.525	384600
3.53	388200
3.535	392200
3.54	396400
3.545	400600
3.55	405100
3.555	409500
3.56	413900
3.565	419900
3.57	427100
3.575	435100
3.58	443100
3.585	450200
3.59	458000
3.595	465800
3.6	473500
3.605	481800
3.61	489600
3.615	495700
3.62	502200
3.625	509000
3.63	515300
3.635	521200
3.64	526900
3.645	531900
3.65	536500
3.655	541000
3.66	546400
3.665	551800
3.67	557600
3.675	563600
3.68	569700
3.685	575000
3.69	579800
3.695	584100
3.7	587700
3.705	591600
3.71	596600
3.715	600500
3.72	604000
3.725	606600
3.73	607900
3.735	608500
3.74	609400
3.745	610500
3.75	611700
3.755	611100
3.76	609600
3.765	608100
3.77	606400
3.775	604900
3.78	603700
3.785	603000
3.79	602700
3.795	601400
3.8	599400
3.805	598200
3.81	597400
3.815	597000
3.82	596700
3.825	596300
3.83	595900
3.835	595500
3.84	594400
3.845	592600
3.85	588900
3.855	585200
3.86	581500
3.865	578200
3.87	575500
3.875	573500
3.88	572300
3.885	572600
3.89	573300
3.895	575300
3.9	578600
3.905	582100
3.91	585300
3.915	588300
3.92	592800
3.925	596100
3.93	599100
3.935	601700
3.94	604100
3.945	606900
3.95	610800
3.955	614300
3.96	617800
3.965	622200
3.97	625800
3.975	627300
3.98	627900
3.985	627800
3.99	627800
3.995	627500
4	626600
4.005	624900
4.01	621900
4.015	619200
4.02	616900
4.025	614500
4.03	612900
4.035	611800
4.04	611200
4.045	612000
4.05	612900
4.055	612900
4.06	613200
4.065	612600
4.07	612800
4.075	612200
4.08	611300
4.085	609900
4.09	608300
4.095	606700
4.1	605300
4.105	605000
4.11	602200
4.115	599100
4.12	595800
4.125	593300
4.13	590300
4.135	588400
4.14	585600
4.145	583000
4.15	580600
4.155	578600
4.16	577800
4.165	577700
4.17	578200
4.175	580100
4.18	584500
4.185	587400
4.19	591000
4.195	595100
4.2	599700
4.205	601800
4.21	605000
4.215	608700
4.22	611500
4.225	613100
4.23	615000
4.235	615800
4.24	617000
4.245	617400
4.25	618000
4.255	618700
4.26	617900
4.265	615600
4.27	612700
4.275	609400
4.28	605300
4.285	600800
4.29	595600
4.295	589100
4.3	582000
4.305	574200
4.31	566700
4.315	560700
4.32	554200
4.325	547900
4.33	541700
4.335	535900
4.34	530100
4.345	524500
4.35	518500
4.355	512300
4.36	505100
4.365	497700
4.37	488800
4.375	480100
4.38	471200
4.385	461200
4.39	450200
4.395	439200
4.4	428200
4.405	417800
4.41	407200
4.415	396800
4.42	386200
4.425	375200
4.43	364900
4.435	355500
4.44	347000
4.445	338800
4.45	330200
4.455	322000
4.46	314100
4.465	307100
4.47	299200
4.475	291600
4.48	283600
4.485	276100
4.49	267800
4.495	258100
4.5	249600
4.505	241300
4.51	233500
4.515	225100
4.52	215800
4.525	207700
4.53	199700
4.535	192900
4.54	186500
4.545	180900
4.55	176000
4.555	171600
4.56	167900
4.565	164300
4.57	162400
4.575	160900
4.58	161400
4.585	156500
4.59	155000
4.595	153700
4.6	152600
4.605	152600
4.61	154200
4.615	155700
4.62	159000
4.625	163300
4.63	169400
4.635	176700
4.64	184700
4.645	193600
4.65	203400
4.655	213700
4.66	224500
4.665	235200
4.67	245600
4.675	255800
4.68	265100
4.685	274600
4.69	284000
4.695	293400
4.7	302600
4.705	311700
4.71	320500
4.715	329300
4.72	337200
4.725	344600
4.73	351900
4.735	359100
4.74	365600
4.745	371700
4.75	377600
4.755	383300
4.76	388500
4.765	393500
4.77	398600
4.775	403700
4.78	408900
4.785	414800
4.79	420500
4.795	426500
4.8	432900
4.805	439400
4.81	446100
4.815	452200
4.82	458000
4.825	464400
4.83	470400
4.835	476000
4.84	481800
4.845	488100
4.85	493800
4.855	499600
4.86	505000
4.865	509800
4.87	515200
4.875	520700
4.88	526400
4.885	532800
4.89	539800
4.895	546700
4.9	553700
4.905	560600
4.91	567600
4.915	574300
4.92	580800
4.925	587800
4.93	594600
4.935	601800
4.94	609300
4.945	615900
4.95	622500
4.955	628800
4.96	634700
4.965	640100
4.97	645200
4.975	649400
4.98	650900
4.985	650100
4.99	648200
4.995	644300
5	639700
5.005	635800
5.01	630100
5.015	624400
5.02	617700
5.025	611100
5.03	604900
5.035	600300
5.04	594400
5.045	589400
5.05	584700
5.055	580500
5.06	576900
5.065	573700
5.07	571100
5.075	568800
5.08	566900
5.085	565800
5.09	565100
5.095	564300
5.1	563400
5.105	562500
5.11	561400
5.115	560300
5.12	559400
5.125	558900
5.13	557200
5.135	555400
5.14	554000
5.145	551900
5.15	550300
5.155	548600
5.16	547000
5.165	545100
5.17	543300
5.175	541300
5.18	540200
5.185	539400
5.19	538700
5.195	538600
5.2	539200
5.205	540100
5.21	541900
5.215	543900
5.22	546300
5.225	549200
5.23	552300
5.235	555200
5.24	559500
5.245	563300
5.25	566900
5.255	570000
5.26	574100
5.265	577800
5.27	581600
5.275	584800
5.28	588400
5.285	592400
5.29	595500
5.295	597800
5.3	600400
5.305	602600
5.31	604300
5.315	605900
5.32	607000
5.325	607900
5.33	607900
5.335	607700
5.34	606700
5.345	605800
5.35	605100
5.355	604200
5.36	603100
5.365	604500
5.37	604900
5.375	606600
5.38	608600
5.385	610400
5.39	612900
5.395	614800
5.4	617400
5.405	617700
5.41	617300
5.415	616300
5.42	614700
5.425	611900
5.43	608000
5.435	603500
5.44	598600
5.445	597700
5.45	595100
5.455	593400
5.46	592300
5.465	590900
5.47	589700
5.475	588800
5.48	588900
5.485	588000
5.49	585000
5.495	582200
5.5	580100
5.505	578500
5.51	576800
5.515	575800
5.52	574800
5.525	573200
5.53	571100
5.535	569200
5.54	565000
5.545	560500
5.55	556100
5.555	550600
5.56	545700
5.565	540300
5.57	538500
5.575	537000
5.58	535900
5.585	536200
5.59	536500
5.595	535800
5.6	535400
5.605	534200
5.61	531000
5.615	528300
5.62	524800
5.625	521500
5.63	519000
5.635	518000
5.64	516800
5.645	516200
5.65	517500
5.655	520200
5.66	523300
5.665	524800
5.67	527200
5.675	530500
5.68	532100
5.685	534000
5.69	535400
5.695	537800
5.7	538800
5.705	540300
5.71	543100
5.715	547100
5.72	549100
5.725	551000
5.73	551200
5.735	555400
5.74	556000
5.745	560800
5.75	566300
5.755	570800
5.76	576100
5.765	582200
5.77	588500
5.775	594700
5.78	602200
5.785	610500
5.79	618600
5.795	626300
5.8	633800
5.805	640900
5.81	647700
5.815	654000
5.82	659700
5.825	665500
5.83	671300
5.835	679600
5.84	684800
5.845	688700
5.85	689600
5.855	693300
5.86	696800
5.865	700600
5.87	704400
5.875	708700
5.88	712500
5.885	719600
5.89	727000
5.895	732700
5.9	739000
5.905	746200
5.91	754500
5.915	764200
5.92	772100
5.925	783900
5.93	793700
5.935	806500
5.94	820100
5.945	833900
5.95	847300
5.955	859800
5.96	871900
5.965	882600
5.97	892700
5.975	900700
5.98	909800
5.985	914700
5.99	918200
5.995	921300
6	920600
6.005	921400
6.01	921600
6.015	921300
6.02	920800
6.025	922700
6.03	921600
6.035	919800
6.04	915300
6.045	912500
6.05	909300
6.055	905600
6.06	901700
6.065	897500
6.07	893300
6.075	891700
6.08	887700
6.085	883700
6.09	876900
6.095	873500
6.1	870700
6.105	868700
6.11	866800
6.115	865600
6.12	864400
6.125	862900
6.13	861400
6.135	861900
6.14	859500
6.145	856300
6.15	849900
6.155	846400
6.16	841800
6.165	839500
6.17	834600
6.175	826500
6.18	820300
6.185	813400
6.19	805900
6.195	799600
6.2	794500
6.205	789900
6.21	786100
6.215	782800
6.22	780800
6.225	779700
6.23	779600
6.235	779900
6.24	780200
6.245	780700
6.25	780800
6.255	780900
6.26	780900
6.265	781000
6.27	781200
6.275	783100
6.28	786900
6.285	791000
6.29	795200
6.295	799400
6.3	802400
6.305	804000
6.31	805600
6.315	806500
6.32	806900
6.325	805100
6.33	801600
6.335	797800
6.34	793600
6.345	789800
6.35	787400
6.355	785900
6.36	785100
6.365	785000
6.37	785800
6.375	786400
6.38	787700
6.385	789200
6.39	791200
6.395	792600
6.4	793500
6.405	793400
6.41	791900
6.415	789200
6.42	786300
6.425	783500
6.43	780300
6.435	777100
6.44	774200
6.445	771600
6.45	769900
6.455	769300
6.46	769900
6.465	771600
6.47	773500
6.475	775400
6.48	777600
6.485	780200
6.49	781800
6.495	783000
6.5	783300
6.505	783000
6.51	782300
6.515	779500
6.52	776200
6.525	772200
6.53	767700
6.535	762600
6.54	757000
6.545	750600
6.55	743900
6.555	736900
6.56	729200
6.565	719600
6.57	709100
6.575	698000
6.58	686800
6.585	675500
6.59	664200
6.595	652900
6.6	641700
6.605	630400
6.61	619100
6.615	608300
6.62	598400
6.625	590400
6.63	583900
6.635	578800
6.64	575300
6.645	572300
6.65	568900
6.655	566600
6.66	564200
6.665	562000
6.67	561900
6.675	564000
6.68	567000
6.685	569700
6.69	572500
6.695	575600
6.7	578900
6.705	582700
6.71	586700
6.715	590500
6.72	594000
6.725	597200
6.73	599600
6.735	601200
6.74	603500
6.745	605500
6.75	607500
6.755	609300
6.76	610700
6.765	612900
6.77	615000
6.775	617000
6.78	618000
6.785	618900
6.79	618500
6.795	618200
6.8	619000
6.805	620700
6.81	622700
6.815	624900
6.82	626900
6.825	628700
6.83	630400
6.835	632200
6.84	633900
6.845	634700
6.85	635300
6.855	635600
6.86	635700
6.865	635600
6.87	635200
6.875	634600
6.88	634100
6.885	633700
6.89	633000
6.895	632800
6.9	633000
6.905	633200
6.91	634200
6.915	635600
6.92	637800
6.925	640100
6.93	643000
6.935	644100
6.94	645700
6.945	647700
6.95	650200
6.955	653300
6.96	656200
6.965	659200
6.97	661400
6.975	663500
6.98	665100
6.985	665800
6.99	666300
6.995	666300
7	665800
7.005	664100
7.01	661600
7.015	657900
7.02	653600
7.025	648900
7.03	643200
7.035	637400
7.04	631100
7.045	625600
7.05	620700
7.055	615700
7.06	611000
7.065	606800
7.07	602800
7.075	599500
7.08	596300
7.085	594200
7.09	594100
7.095	595000
7.1	595000
7.105	594000
7.11	592800
7.115	591700
7.12	590600
7.125	588900
7.13	587600
7.135	587100
7.14	585600
7.145	583900
7.15	583000
7.155	583300
7.16	584400
7.165	586400
7.17	588800
7.175	592600
7.18	596900
7.185	601600
7.19	606800
7.195	611800
7.2	616700
7.205	621000
7.21	624600
7.215	628900
7.22	634500
7.225	640500
7.23	646700
7.235	654500
7.24	661900
7.245	670200
7.25	676900
7.255	682400
7.26	686600
7.265	690200
7.27	692200
7.275	692700
7.28	691300
7.285	688500
7.29	684500
7.295	679200
7.3	673400
7.305	667000
7.31	663100
7.315	658900
7.32	654500
7.325	649600
7.33	644600
7.335	640000
7.34	635400
7.345	630700
7.35	626700
7.355	623800
7.36	619500
7.365	615100
7.37	610300
7.375	605500
7.38	600700
7.385	595500
7.39	590400
7.395	585000
7.4	579400
7.405	573900
7.41	569300
7.415	562700
7.42	556200
7.425	550000
7.43	544000
7.435	538700
7.44	533600
7.445	528200
7.45	522500
7.455	516800
7.46	511200
7.465	506300
7.47	504300
7.475	501800
7.48	499300
7.485	497300
